Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Release Years,Poster,Description
Good Casting,-,Park Ji-ha,Choi Young-hoon,"Choi Kang-hee, Yoo In-young, Kim Ji-young, Lee Sang-yeob, Lee Jun-young, Lee Jong-hyuk","Action, Comedy",SBS TV,16,"April 27 –
June 16, 2020",2020,-,"Legendary espionage agents give girl power a whole new meaning in this thrilling action comedy. Once part of South Korea's top secret National Intelligence Service, a group of talented female agents are reassigned to go undercover in a case involving corruption and leaked trade secrets at the country's largest conglomerate. After several mistakes during important missions, Baek Chan Mi (Choi Kang Hee) was reassigned to the cybersecurity team, but dreams of returning to her former role. Hwang Mi Soon has left agent life behind and became a full-time homemaker. Meanwhile, Lim Ye Eun, a smart single mom and desk agent dreams of being promoted to an undercover spymaster working in the field. Their lives collide when Don Kwan Soo, a longtime director in the NIS, recruits all three for a do or die mission."
Good Doctor (South Korean TV series),-,-,"Ki Min-soo, Kim Jin-woo","Joo Won, Moon Chae-won, Joo Sang-wook, Kim Min-seo","Medical drama, Romance, Comedy",KBS2,20,"August 5 –
October 8, 2013",2013,-,"Park Si-on (Joo Won) is a resident surgeon on the autism spectrum with savant syndrome who was sent to a specialized care center as a child, where he was discovered to have a genius-level memory and keen spatial skills. He eventually becomes a pediatric surgery resident and is given six months to prove himself capable. However, due to his atypical mental and emotional condition, Si-on faces conflict from his peers and patients, who view him as childlike and unreliable. Most critical is the hotheaded surgeon Kim Do-han (Joo Sang-wook). Do-han was requested by the young surgeon's mentor and hospital director, Choi Woo-seok (Chun Ho-jin), to guide him but is unwilling to do so, as he criticizes him as overly dependent on his photographic memory rather than empathy for patients. Despite help from understanding and fair colleagues like Cha Yoon-seo (Moon Chae-won) and Han Jin-wook (Kim Young-kwang), the hospital is a fierce and competitive world, and the challenges Si-on faces become only greater when he falls in love with Yoon-seo, a fellow doctor at the hospital."
Good Job (TV series),-,"Kim Jeong-ae, Kwon Hee-kyung","Kang Min-gu, Kim Seong-jin","Jung Il-woo, Kwon Yu-ri","Mystery, Fantasy, Romance",ENA,12,"August 24 –
September 29, 2022",2022,-,"The series revolves around a genius and athletic chaebol who lives a double life as a detective, and a poor woman who has cheerful personality and was born with super vision but tries to hide her ability by wearing thick glasses."
"Good Job, Good Job","Cheer Up on Love, Job Well Done, Well Done, Thumbs Up for a Job Well Done",Park Ji-hyun,"Kim Nam-won, Son Hyung-suk","Chae Rim, Um Ki-joon, Kim Seung-soo, Kim Jung-hwa, Choi Daniel, Seo Hyo-rim","Romance, Drama, Family",Munhwa Broadcasting Corporation,40,"March 14 –
August 2, 2009",2009,-,"Lee Kang-joo is a ceramics technologist and single mother. Her ex-boyfriend Yoo Ho-nam hadn't known that she was pregnant when he left her to study abroad. Now a psychologist, he returns to Korea, but Kang-joo hides the fact that he's the father of her daughter, Byul. Meanwhile, Choi Seung-hyun is a fitness club owner and the son of Kang-joo's mentor and boss. He has loved Kang-joo since high school, but not wanting to lose their friendship, she's remained unresponsive to his romantic overtures."
Good Luck (South Korean TV series),Catch Your Luck,Son Ji-hye,"Park Man-young, Lee Hae-woo","Son Chang-min, Sunwoo Jae-duk, Park Sang-myun, Lee Ah-hyun, Oh Young-sil, Ahn Yeon-hong","Family, Romantic",KBS1,121,"April 14 –
October 3, 2025",2025,-,"The series tells the turbulent story of three friends in their fifties, one rich, one poor, and one yearning for wealth, and their families."
Good Manager,Manager Kim,Park Jae-beom,"Lee Jae-hoon, Choi Yoon-suk","Namkoong Min, Nam Sang-mi, Lee Jun-ho, Jung Hye-sung","Workplace, Drama, Comedy",KBS2,20,"January 25 –
March 30, 2017",2017,-,"Kim Sung-ryong, a certified public accountant who becomes a middle manager at TQ Group company in order to embezzle a large sum of money, ends up fighting for his employees' fundamental rights."
Good Partner,-,Choi Yu-na,Kim Ga-ram,"Jang Na-ra, Nam Ji-hyun, Kim Jun-han, Pyo Ji-hoon, Ji Seung-hyun, Han Jae-yi","Legal drama, Workplace",SBS TV,16,"July 12 –
September 20, 2024",2024,-,"Cha Eun-kyung is a renowned divorce lawyer known for her sharp wit and unwavering dedication to her clients. As she navigates high-profile cases, her own marriage begins to crumble, forcing her to confront her own values and the human cost of her chosen profession. Meanwhile, a newly hired lawyer, Han Yu-ri, challenges Eun-kyung's pragmatic approach with her idealism and passion for justice. Despite their initial clashes, they develop a mentor-mentee relationship, learning from each other's strengths and weaknesses. Through a series of challenging cases, both women grapple with ethical dilemmas, confront personal struggles, and ultimately discover the true meaning of ""good partnership"" – not just in the courtroom, but also in their personal and professional lives."
Goodbye Dear Wife,-,Kim Pyung-joong,Kim Do-hyun,"Ryu Si-won, Hong Soo-hyun, Park Ji-yoon, Danny Ahn, Julien Kang","Romance, Drama",Channel A,-,"7 May –
10 July 2012",2012,-,"The series is about a judo teacher, Cha Seung-hyuk (Ryu Si-won), who is married to Kang Sun-ah (Hong Soo-hyun), who wanted to be a nun. He dreams of reuniting with his first love, Oh Hyang-gi (Park Ji-yoon), a cold-hearted woman."
Goodbye Earth,-,Jung Sung-joo,Kim Jin-min,"Ahn Eun-jin, Yoo Ah-in, Jeon Sung-woo, Kim Yoon-hye","Science fiction, Dystopian",Netflix,12,"April 26, 2024",2024,-,"The series follows the final 200 days before an asteroid is expected to collide with Earth on February 22, 2026. South Korea has been placed under martial law following an outbreak of violence and an attempted coup since the announcement of the asteroid's approach. Many wealthy citizens have fled the country to supposed safe zones, and remaining residents have to deal with hopelessness, reduced supplies, widespread suicide, rampant crime, and various scams offering supposed salvation."
Goodbye Mr. Black,-,Moon Hee-jung,"Han Hee, Kim Seong-wook","Lee Jin-wook, Moon Chae-won, Yoo In-young, Kim Kang-woo, Song Jae-rim","Thriller, Drama, Romance",MBCTV,20,"March 16 –
May 19, 2016",2016,-,"Cha Ji-won is a Navy SEAL demolitions officer, but he is betrayed by his best friend, then denounced as a traitor. Ji-won is sent to another country, but escapes and returns with a new identity, along with a ""fake"" wife, to take revenge."
Goodbye My Love (TV series),-,Jo Myung-jo,Lee Chang-soon,-,-,MBC,16,"September 1 –
October 21, 1999",1999,-,"Ahn Jae-wook stars as Min-soo, an aspiring businessman who once saved the life of his friend Gi-tae (Jung Joon-ho). Afterwards, Gi-tae's wealthy father hires Min-soo to keep Gi-tae out of trouble. Min-soo later meets Yeon-joo (Kim Hee-sun), a factory worker with financial problems."
Goodbye Solo (TV series),-,Noh Hee-kyung,"Ki Min-soo, Hwang In-hyuk","Chun Jung-myung, Yoon So-yi, Kim Min-hee, Bae Jong-ok, Lee Jae-ryong, Kim Nam-gil, Na Moon-hee","Romance, Drama, Mystery",KBS2,16,"1 March –
20 April 2006",2006,-,"Kim Min-ho (Chun Jung-myung) is the son of a rich business tycoon, but works as a bartender. Because he is illegitimate, he feels estranged from his family, and has a strained relationship with his father (Jang Yong), his older brother Min-jae (Kim Hyun-kyun), and especially his mother (Jung Ae-ri). Min-ho has been secretly in love for a long time with Chung Soo-hee (Yoon So-yi), an artist who is also the girlfriend of his best friend, Yoo Ji-an (Kim Nam-gil). Soo-hee despises her mother for her constantly changing partners, and thus is determined to be faithful to Ji-an, despite her growing attraction to Min-ho. Ji-an works as a secretary for Min-ho's father and his lies hide painful family secrets. Cheerful, seemingly frivolous Choi Mi-ri (Kim Min-hee) is a restaurant owner who is living with third-rate gangster Kang Ho-chul (Lee Jae-ryong). Despite their love for each other, Mi-ri agonizes over Ho-chul's refusal to marry her and her family's disapproval. Oh Young-sook (Bae Jong-ok), who calls herself ""crazy,"" is a flamboyant and eccentric divorcee who recently moved next door to Mi-ri and Ho-chul's apartment. All these people are linked together by an old woman named Mi-young (Na Moon-hee), the mysterious owner of an eatery in the neighborhood, who hasn't spoken a single word in decades."
Goodbye to Goodbye,-,So Jae-won,Kim Min-sik,"Chae Shi-ra, Jo Bo-ah, Lee Sung-jae, Lee Jun-young","Romance, Melodrama",MBC TV,40,"May 26 –
August 4, 2018",2018,-,This series is about two women who came to live together following the betrayals of their partners.
Gourmet (TV series),"Trencherman, Best Chef, The Grand Chef","Choi Wan-kyu, Park Hoo-jung",Choi Jong-soo,"Kim Rae-won, Nam Sang-mi, Kim So-yeon, Kwon Oh-joong","Romance, Drama, Cooking",SBS TV,24,"17 June –
9 September 2008",2008,-,"Kim Rae-Won stars as the warm hearted chef-in-training Lee Sung-Chan, while actress Nam Sang-Mi plays a silly country girl, Kim Jin-soo, who trails Lee with high hopes of becoming a food columnist. Veteran actor Choi Bul-Am appears as Master Oh Sook-soo, Lee's stepfather and the only person who truly believes in Lee's potential."
Graceful Family,Elegant Family,Kwon Min-Soo,Han Chul-Soo,"Im Soo-hyang, Lee Jang-woo, Shin Soo-yeon, Bae Jong-ok","Mystery, Suspense, Melodrama","MBN
Dramax",16,"August 21 –
October 17, 2019",2019,-,"Mo Seok-hee (Im Soo-hyang) is the only daughter of the MC Group, a large chaebol (conglomerate). Her grandfather is the founder and majority shareholder of the chaebol and her father, Mo Cheol-hee, is the President. 15 years ago, as a young teenager, Seok-hee was forced by her father to move to the United States after her mother was murdered."
Graceful Friends,-,"Park Hyo-yeon, Kim Gyeong-seon",Song Hyun-wook,"Yoo Jun-sang, Song Yoon-ah, Bae Soo-bin, Han Eun-jung, Kim Sung-oh, Kim Hye-eun, Jung Suk-yong, Lee In-hye, Kim Won-hae, Kim Ji-young","Drama, Mystery",JTBC,17,"July 10 –
September 5, 2020",2020,-,The peaceful life btw a group of friends who've known each other for 2 decades is suddenly blown up when a murder takes place.
Gracious Revenge,"Perfect Mother and Daughter, Elegant Mother and Daughter",Oh Sang-Hee,Eo Soo-Sun,"Choi Myung-gil, Cha Ye-ryun, Kim Heung-soo, Oh Chae-yi","Melodrama, Revenge, Family, Romance",KBS2,103,"November 4, 2019 –
March 27, 2020","2019, 2020",-,A story of a woman who was raised as a tool for her mother's revenge and her dangerous love life will be introduced.
Grand Prince (TV series),"Grand Prince: He Yearns for Love, The King",Jo Hyun-kyung,Kim Jung-min,"Yoon Shi-yoon, Jin Se-yeon, Joo Sang-wook","Historical, Romance, Melodrama",TV Chosun,20,"March 3 –
May 6, 2018",2018,-,A drama about two princes who enter into a rivalry due to their love for the same woman. It is loosely based on the true stories of Grand Prince Anpyeong and King Sejo.
Great Inheritance,"Great Expectations, Kindergarten Love","Lee Sook-jin, Kim Tae-hee",Kim Pyung-joong,"Kim Jaewon, Han Ji-min, Kim Ji-hoon, Lee Mi-sook","Romance, Drama, Comedy",Korean Broadcasting System,17,"May 3 –
June 29, 2006",2006,-,"Kang Hyun-se is a gangster of the Hanbando Group who inherits the Maru Kindergarten after his estranged mother dies from a heart attack. He intends to sell the kindergarten and comes to terrorize the staff, only to learn that his mother had stipulated that he has to work as kindergarten teacher for 100 days in order to gain legal ownership."
Green Mothers' Club,-,Shin Yi-won,Ra Ha-na,"Lee Yo-won, Choo Ja-hyun, Kim Gyu-ri, Jang Hye-jin, Joo Min-kyung","Drama, Friendship",JTBC,16,"April 6 –
May 26, 2022",2022,-,"A story depicting the friendships, motherly love, and growth of 5 mothers who met in the elementary community, each with a complex that they could not overcome."
Green Rose,-,"Yoo Hyun-mi, Kim Doo-sam","Kim Soo-ryong, Kim Jin-geun","Go Soo, Lee Da-hae, Lee Jong-hyuk, Kim Seo-hyung","Action, Romance, Drama, Suspense",SBS TV,22,"19 March –
29 May 2005",2005,-,"Lee Jung-hyun (Go Soo) and Oh Soo-ah (Lee Da-hae) are living a normal life as a couple until it is revealed that Soo-ah is actually the daughter of Oh Byung-moo (Han Jin-hee), chairman of SR Electronics, the very company he works at. Shocked and hurt that Soo-ah wasn't honest with him, Jung-hyun tries to break up with her but she convinces him to give their relationship another chance. One night, Jung-hyun is summoned to the chairman's vacation house. Inside, Jung-hyun finds the chairman and the housekeeper both on the floor, the former unconscious and the latter dead. When Jung-hyun attempts to carry the chairman out of the house, a fire is started and Jung-hyun is knocked out. After the evidence points to Jung-hyun as the main suspect, he is sentenced to life imprisonment. To give her son a chance to get out of jail and prove his innocence, his mother kills herself. Cornered by policemen and the SWAT team after a long and exhausting car chase, Jung-hyun jumps off a bridge."
