title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
High Kick Through the Roof,-,-,MBC,,Situation comedy,,,"September 7, 2009 –
April 30, 2010",,"Lee Soon-jae, Kim Ja-ok, Jeong Bo-seok, Oh Hyun-kyung, Choi Daniel, Hwang Jung-eum, Shin Se-kyung, Yoon Shi-yoon, Jin Ji-hee, Seo Shin-ae, Lee Gi-kwang",-,-,126,"2009, 2010",-
High Kick!,-,-,MBC TV,,Situation comedy,,,"November 6, 2006 –
July 13, 2007",,"Lee Soon-jae, Na Moon-hee, Jeong Jun-ha, Choi Min-yong, Park Hae-mi, Shin Ji, Kim Hye-seong, Jung Il-woo, Seo Min-jung, Park Min-young, Kim Bum","Song Jae-jeong, Lee Young-chul, Lee So-jeong, Choi Jeong-hyeon, Bang Bong-won","Kim Byeong-wook, Kim Chang-dong, Kim Young-ki",167,"2006, 2007",-
High Kick: Revenge of the Short Legged,-,"The story begins in 2041, where Lee Juck has released a best-selling novel called ""High Kick: Revenge of the Short-legged"". The book describes his experience with the Ahn's and Ji-won's households, the primary plot being the Ahn family's financial hardship. The story is narrated by Lee Juck himself.",MBC,,Situation comedy,,,"September 19, 2011 –
March 30, 2012",,"Ahn Nae-sang, Yoon Yoo-sun, Yoon Kye-sang, Seo Ji-seok, Lee Jong-suk, Krystal Jung, Park Ha-sun, Baek Jin-hee, Kim Ji-won, Julien Kang, Kang Seung-yoon, Lee Juck, Park Ji-sun, Go Young-wook, Yoon Gun","Baek Sun-woo, Jang Jin-ah, Lee Young-chul","Kim Byung-wook, Park Soon-tae, Jo Chan-joo, Kim Yeong-gi",123,"2011, 2012",-
High School King of Savvy,-,"Lee Min-suk (Seo In-guk) is a high school student and varsity ice hockey player. He and his older brother, Hyung-suk, look very much alike despite their nine-year age gap. When he gets a mysterious phone call from Hyung-suk telling him to impersonate him at the latter's new job, Min-suk is forced to pretend to be a high-ranking executive at an IT conglomerate. Living a double life while unaware of the rules within the Korean workplace, Min-suk learns how to navigate his way in the world of adults with the help of Jung Soo-young (Lee Ha-na), a temp with an odd personality whom he eventually falls in love with.",tvN,,"Romance, Workplace comedy",,,"June 16 –
August 11, 2014",,"Seo In-guk, Lee Ha-na, Lee Soo-hyuk, Lee Yul-eum","Jo Sung-hee, Yang Hee-seung",Yoo Je-won,17 + 1 (special),2014,-
High School Return of a Gangster,-,-,Lifetime,,"Fantasy, Teen drama, Action, Revenge",,,"May 29 –
June 19, 2024",,"Yoon Chan-young, Bong Jae-hyun, Lee Seo-jin",Jeong Da-hee,Lee Seong-taek,8,2024,-
High Society (2015 TV series),The Privileged,"Jang Yoon-ha (Uee) is the youngest daughter of a chaebol family. Her family is a mess. Hated by her mother, she wants to live a normal life like a normal person. Her parents arrange for her to marry a young chaebol Yoo Chang-soo (Park Hyung-sik). She hides her identity and works as a part-time sales woman in a supermarket and befriends with Lee Ji-yi (Lim Ji-yeon) who wants to marry a rich man and starts dreaming about it. Lee Ji-yi has a crush on Choi Joon-gi (Sung Joon), a brilliant and hard-working friend of Yoo Chang-soo, who comes from a poor family and wants to become rich by marrying a rich girl. Joon-gi catches Yoon-ha's attention. Joon-gi confesses his feelings to Yoon-ha and asks her to become his girlfriend. Yoon-ha starts a relationship with Joon-gi and it goes well. Meanwhile, Yoo Chang-soo flirts with Lee Ji-yi and they become a couple.",SBS TV,,"Romance, Melodrama",,,"June 8 –
July 28, 2015",,"Uee, Sung Joon, Park Hyung-sik, Lim Ji-yeon",Ha Myung-hee,Choi Young-hoon,16,2015,-
High-End Crush,"Clueless High Class Unrequited Love, The Greatest One-Sided Love No One Has Ever Seen Before",High End Crush is a romantic comedy depicting the heartfelt and pure love story of a man with everything in his hands who falls in love for the first time in his life with a woman who has been living in completely opposite circumstances from his.,"NAVER TV Cast, MBN (South Korea)
Sohu (China)",,"Comedy, Romance, Romantic Comedy",,,"November 14, 2015 –
January 17, 2016",,"Jung Il-woo, Jin Se-yeon, Lee Si-eon, Yoon Bo-ra",Sin Yoo-dam,Ji Yeong-soo,20,"2015, 2016",-
Hilarious Housewives,-,"Jung Sun-kyung owns a bakery. One day, her husband asks for a divorce and then disappears. Sun-kyung finds herself thrust into the role of running her husband's talent agency as well as the bakery. She faces multiple challenges in her new job, but her neighbours Mi-sun, Hee-jung, and Ji-min help her overcome them. The show depicts the lives of five housewives, with Mi-sun as the main character.",MBC,,Sitcom,,,"March 2 –
September 4, 2009",,"Park Mi-sun, Jung Sun-kyung, Kim Hee-jung, Choi Eun-kyung, Hong Ji-min","Kim Hyun-hee, Park Min-jung, Baek Ji-hyeon, Kwak Kyung-yoon, Han Sul-hee","Kwon Ik-jun, Jun Jin-su, Jung Chang-yeong, Lee Ji-seon",133,2009,-
History of a Salaryman,Salaryman Cho Han Ji,"Yoo-bang (Lee Beom-soo) sneaks into a villa at night and discovers the dead body of Chunha Medical Group executive Ho-hae (Park Sang-myun). His niece Yeo-chi (Jung Ryeo-won) is hiding in the room. At the funeral, both Yoo-bang and Yeo-chi get arrested for murder. How did things come to this? It all began three months ago when Chunha began trial testing for their new medicine. In exchange for a job recommendation from Ho-hae, Yoo-bang agrees to join the trial testing and steal information about the drug. Rival company director Hang-woo (Jung Gyu-woon) is also there undercover to find out about the new drug. Spoiled rich girl Yeo-chi is undergoing training because her grandfather wants her to inherit Chunha one day, though she herself is completely uninterested. For the trial testing, 30 testers, including Yoo-bang and Hang-woo, are shut off from the outside world for 10 days. During the trial period, strange things begin to happen...",SBS TV,,"Comedy, Thriller, Romance",,,"January 2 –
March 13, 2012",,"Lee Beom-soo, Jung Ryeo-won, Jung Gyu-woon, Hong Soo-hyun","Jang Young-chul, Jung Kyung-soon",Yoo In-shik,22,2012,-
History of Scruffiness,-,It depicts the growth of four twenty-year-old boys through love and separation.,Wavve,,Romantic comedy,,,"February 26 –
March 19, 2025",,"Jo Byeong-kyu, Ryeoun, Jung Jae-kwang, Jung Yong-ju",Kim Poong,Kim Sung-hoon,8,2025,-
Hit the Top,The Best Hit,"In the year 1993, pop idol Yoo Hyun-Jae accidentally travels through time to 2017. Discovering that he mysteriously disappears in 1994 and is presumed dead, he begins to investigate into the reason for his disappearance while trying to adjust to life in the future. Meanwhile, Lee Ji-Hoon is an aspiring musician and is secretly enrolled as an idol trainee at Star Punch Entertainment. Ji-hoon struggles to hide this from his parents, who believe he has been studying for his civil service exams.",KBS2,,"Slice-of-life, Comedy, Drama, Youth, Romance",,,"June 2 –
July 22, 2017",,"Yoon Shi-yoon, Lee Se-young, Kim Min-jae, Cha Tae-hyun","Lee Young-chul, Lee Mi-rim","Yoo Ho-jin, Cha Tae-hyun (credited as ""Ra Jun-mo""), Kim Sang-hoon",32,2017,-
Hogu's Love,"Ho-goo's Love, A Pushover's Love, Fool's Love","Kang Ho-gu has never had a proper girlfriend, with girls constantly taking advantage of his sweet, naive nature by enjoying all the perks of dating then friend zone-ing him. His relationship-savvy twin sister Kang Ho-kyung mocks him and his best friends Kim Tae-hee and Shin Chung-jae for being sorely lacking in any dating skills.",tvN,,"Romance, Comedy, Melodrama",,,"February 9 –
March 31, 2015",,"Choi Woo-shik, Uee, Lim Seul-ong, Lee Soo-kyung",Yoon Nan-joong,Pyo Min-soo,16,2015,-
Hold Me Tight (TV series),-,The story of a married couple who spent half their lives as partners. They look back on the time they have spent together and rediscover themselves as they suddenly have to confront death.,MBC TV,,"Romance, Melodrama",,,"March 21 –
May 10, 2018",,"Han Hye-jin, Yoon Sang-hyun, Yoo In-young, Kim Tae-hoon",Jung Ha-yeon,Jung Ji-in,32,2018,-
Hold My Hand (TV series),Take My Hand,"Yeon-soo has a bright and positive personality. Since her father died, she lives with her mother and younger brother. Despite their financially difficult situation, Yeon-soo lives happily with her family and her boyfriend Jung-hyun.",MBC TV,,"Melodrama, Romance, Revenge",,,"October 7, 2013 –
April 4, 2014",,"Park Si-eun, Bae Geu-rin, Lee Jae-hwang, Jin Tae-hyun",Hong Seung-hee,"Choi Eun-kyung, Lee Gye-joon",130,"2013, 2014",-
Home for Summer,-,A heartwarming story about family members who cannot hate each other even when they want to.,KBS1,,"Family, Melodrama",,,"April 29 –
October 25, 2019",,"Lee Young-eun, Yoon Sun-woo, Lee Chae-young, Kim Sa-kwon, Kim Hye-ok, Na Hye-mi",Goo Ji-won,Seong Joon-hae,128,2019,-
Home Sweet Home (2010 TV series),"My Happy Home, My Sweet Home","Kim Jin-seo (Kim Hye-soo) is a psychiatrist out to uncover the truth behind the death of Sung Eun-pil (Kim Kap-soo). In doing so, Kim realizes that the deceased Sung's wife, Mo Yoon-hee (Hwang Shin-hye), may not only have been involved in Sung's death but that she has also been having an affair with Kim's husband, Lee Sang-hyun (Shin Sung-woo).",MBC TV,,"Mystery, Melodrama",,,"October 27 –
December 23, 2010",,"Kim Hye-soo, Hwang Shin-hye",-,"Oh Kyung-hoon, Lee Sung-joon",16,2010,-
Homemade Love Story,-,"Woo Jae-hee works as an architect. His father Woo Jung-Hoo runs a big company, but Woo Jae-hee has feuded with him over the years. After entering a university, Woo Jae-hee lived independently and did not receive support from his father. Now, he is handsome, smart, and does good work as an architect. He meets Lee Bit-chae-woon for the first time while at a house remodelling site.",KBS2,,"Drama, Melodrama",,,"September 19, 2020 –
March 7, 2021",,"Jin Ki-joo, Lee Jang-woo",Yoon Kyung-ah,Hong Seok-ku,100,"2020, 2021",-
Hometown (South Korean TV series),-,"Set in 1999, Hometown tells about a bizarre murder in a small town. It finds the truth of a recording tape containing mysterious serial killings.",tvN,,"Mystery, Thriller",,,"September 22 –
October 28, 2021",,"Yoo Jae-myung, Han Ye-ri, Uhm Tae-goo",Joo Jin,Park Hyun-seok,12,2021,-
Hometown Cha-Cha-Cha,-,"Yoon Hye-jin, an accomplished dentist from Seoul, goes to the idyllic seaside village of Gongjin on her late mother's birthday after her life goes awry. She spontaneously decides to open up a dental clinic, and gets to know jack-of-all-trades Hong Du-sik, also known as Chief Hong. The romantic drama depicts the growing romance between the two, as well as the lives of other Gongjin's residents.",tvN,,"Comedy drama, Romantic comedy, Slice of life",,,"August 28 –
October 17, 2021",,"Shin Min-a, Kim Seon-ho, Lee Sang-yi",Shin Ha-eun,"Yoo Je-won, Kwon Yong-il",16,2021,-
Hong Gil-dong (TV series),-,"Hong Gil-dong is the illegitimate son of a minister. He is very bright and smart, but was told that he could not accomplish anything in this world due to his illegitimate status. Thus he grows up spending most of his time being lazy and causing trouble for the people around him. However, a local monk thinks he is destined to be much more, and so teaches Gil-dong martial arts. As the series progresses, Gil-dong realizes the severity of the injustices of the ranked world, and starts to fight against these injustices by stealing from the rich and giving to the poor.",KBS2,,"Historical, Comedy, Romance, Action",,,"2 January –
26 March 2008",,"Kang Ji-hwan, Sung Yu-ri, Jang Keun-suk, Kim Ri-na","Hong Jung-eun, Hong Mi-ran",Lee Jung-sub,24,2008,-
Hong Kong Express (TV series),-,"Han Jung-yeon is an interior designer living in Hong Kong who's engaged to rich tycoon Choi Kang-hyuk. But before she can marry her rich boyfriend, she comes across her old flame Kang Min-soo. Adding to Jung-yeon's confusion about her love life, is a murder in which both men may be involved.",Seoul Broadcasting System,,"Drama, Romance",,,"February 16 –
April 7, 2005",,"Cho Jae-hyun, Song Yoon-ah, Cha In-pyo",Kim Sung-hee,Jo Nam-kook,16,2005,-
Hospital Playlist,-,"Hospital Playlist follows the lives of five doctors in their forties, Lee Ik-jun (Jo Jung-suk), Ahn Jeong-won (Yoo Yeon-seok), Kim Jun-wan (Jung Kyung-ho), Yang Seok-hyeong (Kim Dae-myung) and Chae Song-hwa (Jeon Mi-do), working at the Yulje Medical Centre, who first became friends during medical school.",tvN,,"Medical drama, Romance, Comedy, Slice-of-life",,,"March 12, 2020 –
September 16, 2021",,"Jo Jung-suk, Yoo Yeon-seok, Jung Kyung-ho, Kim Dae-myung, Jeon Mi-do",Lee Woo-jung,Shin Won-ho,24,"2020, 2021",-
Hospital Ship (TV series),-,The story is about a group of young doctors who provide medical care to the locals who live in rural villages via a hospital ship that sails around the little islands.,MBC TV,,"Medical, Romance",,,"August 30 –
November 2, 2017",,"Ha Ji-won, Kang Min-hyuk, Lee Seo-won",Yoon Sun-joo,Park Jae-bum,40,2017,-
Hot Blood (TV series),"Passionate Entrepreneur, Hot-Blooded Salesman","Revolves around penniless Ha-ryu who is driven by upward mobility and a thirst for personal success. Here is a man who can do whatever it takes to make money. He dreams of raking in 10 billion won by selling cars. Due to this wild idea, he is deemed crazy by everyone, but is ready to sell even his soul to become a billionaire. ""I will make myself fully prepared to take every chance that lies ahead of me!!!"" --KBS World",KBS2,,Drama,,,"10 October –
23 December 2009",,"Park Hae-jin, Chae Jung-an, Choi Cheol-ho, Jo Yoon-hee",-,Ji Byung-hyun,20,2009,-
Hot Stove League (TV series),-,"The Dreams are a Korean professional baseball team that have placed last in the league for the past four seasons. When their general manager steps down, the team hires Baek Seung-soo, who has managed several championship winning sports teams, as his replacement, despite Seung-soo having zero experience with managing a baseball team. Facing shrinking budgets, infighting between the coaching staff and a team deeply set in their ways, Seung-soo uses his outsider's insight and the help of operations manager Se-young and Jae-hee to upend the Dreams' culture in a bid to create a championship winning team, despite the looming fact that every team he has managed before has folded after winning the championship.",SBS TV,,Sports drama,,,"December 13, 2019 –
February 14, 2020",,"Namkoong Min, Park Eun-bin, Oh Jung-se, Jo Byeong-kyu",Lee Shin-hwa,Jung Dong-yoon,16,"2019, 2020",-
